#Execution;Time taken;Hit rate
1;0.000096;1.000000
2;0.000226;1.000000
3;0.000071;1.000000
4;0.000054;1.000000
5;0.000151;1.000000
6;0.000051;1.000000
7;0.000048;1.000000
8;0.000047;1.000000
9;0.000049;1.000000
10;0.000050;1.000000
